Loading 2356 bytes from roms/BLINKY
202: 121a;
21c: 8003;
21e: 8113;
220: a8c8;
222: f155;
224: 6005;
226: a8cc;
228: f055;
22a: 8773;
22c: 8663;
22e: 2772Call 772(current pc: 22e
;
774: 6e00;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
77a: fe1e;
77c: fe1e;
77e: fe1e;
780: f365;
782: ab34;
784: fe1e;
786: fe1e;
788: fe1e;
78a: fe1e;
78c: f355;
78e: 7e01;
790: 3e80;
792: 1774;
776: a919;
778: fe1e;
