Loading 1283 bytes from roms/INVADERS
202: 1225;
227: 6000;
229: 6100;
22b: 6208;
22d: a3d3;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
237: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
237: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
237: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
239: 7008;
23b: 6100;
23d: 3040;
23f: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
237: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
237: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
237: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
239: 7008;
23b: 6100;
23d: 3040;
23f: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
237: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
237: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
237: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
239: 7008;
23b: 6100;
23d: 3040;
23f: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
237: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
237: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
237: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
239: 7008;
23b: 6100;
23d: 3040;
23f: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
237: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
237: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
237: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
239: 7008;
23b: 6100;
23d: 3040;
23f: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
237: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
237: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
237: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
239: 7008;
23b: 6100;
23d: 3040;
23f: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
237: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
237: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
237: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
239: 7008;
23b: 6100;
23d: 3040;
23f: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
237: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
237: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
237: 122d;
22f: d018;
231: 7108;
233: f21e;
235: 3120;
